Drug MW (Dalton),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage
424.5,4.3,30.0,50.0,phospholipon® 90G,24.0,10.0,40,150,0,66.21,,,
424.5,4.3,15.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,83.22,,,
424.5,4.3,30.0,70.0,phospholipon® 90G,24.0,20.0,40,150,0,82.23,,,
424.5,4.3,22.5,30.0,phospholipon® 90G,24.0,30.0,40,150,0,66.21,,,
424.5,4.3,15.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,74.32,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,10.0,40,150,0,82.76,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,72.21,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,73.98,,,
424.5,4.3,22.5,30.0,phospholipon® 90G,24.0,20.0,40,150,0,64.23,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,75.32,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,75.29,,,
424.5,4.3,30.0,50.0,phospholipon® 90G,24.0,30.0,40,150,0,57.23,,,
424.5,4.3,22.5,70.0,phospholipon® 90G,24.0,30.0,40,150,0,67.54,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,30.0,40,150,0,58.45,,,
424.5,4.3,30.0,50.0,phospholipon® 90G,24.0,20.0,40,150,0,60.99,,,
424.5,4.3,22.5,70.0,phospholipon® 90G,24.0,20.0,40,150,0,75.23,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,10.0,40,150,0,82.32,,,
424.5,4.3,22.5,70.0,phospholipon® 90G,24.0,20.0,40,150,0,95.32,,,
424.5,4.3,30.0,30.0,phospholipon® 90G,24.0,20.0,40,150,0,69.43,,,
424.5,4.3,22.5,50.0,phospholipon® 90G,24.0,20.0,40,150,0,81.65,,,
424.5,4.3,22.5,30.0,phospholipon® 90G,24.0,10.0,40,150,0,65.09,,,
