Drug MW (Dalton),DRUG (Log P),Edge activator (HLB),Edge activator loading,Phospholipid Lipid  loading,Phosopholipid Type,Permeation time (hour),sonication time,solvent ratio chloroform (%),hydration time,Cholesterol ,Drug loading (EE%),Vesicular  Size (nm),Vesicles zeta potential (mV),Drug released percentage,,,,,,,,,,
387.7,5.3,16.7,30,150,Phospholipid 90H,24,15,67,60,1,64.11,109.42,-0.14,,,,,,,,,,,
387.7,5.3,16.7,15,150,Phospholipid 90H,24,15,67,60,1,80.89,169.82,-0.87,,,,,,,,,,,
387.7,5.3,16.7,45,150,Phospholipid 90H,24,15,67,60,1,53.05,272.92,-23.44,,,,,,,,,,,
387.7,5.3,16.7,15,5,Phospholipid 90H,24,15,67,60,1,88.12,207.62,-19.34,,,,,,,,,,,
194.186 ,1.58,8.6,280,2500,Phosphatidylcholine,8,30,50,60,1,97,442.9,,182.91,,,,,,,,,,
194.186 ,1.58,16.7,990,2500,Phosphatidylcholine,8,30,50,60,1,,269.2,,205.93,,,,,,,,,,
206.29 ,3.84,15,30,70,Phospholipid 90H,12,,40,60,0,47.8,211,-25.9,72,,,,,,,,,,
206.29 ,3.84,15,25,75,Phospholipid 90H,12,,40,60,0,88.4,217,-31.5,97,,,,,,,,,,
206.29 ,3.84,15,10,90,Phospholipid 90H,12,,40,60,0,67.7,306,-21.5,80,,,,,,,,,,
,,4.3,15,85,phosphatidylcholine egg yolk,,0,0,120,0,91.53,346.4,-4.13,,,,,,,,,,,
,,4.3,15,85,phosphatidylcholine egg yolk,,0,0,120,0,97.94,434.1,-3.31,,,,,,,,,,,
,,7,15,85,phosphatidylcholine egg yolk,,0,0,120,0,91.37,505,-4.64,,,,,,,,,,,
,,9.7,15,85,phosphatidylcholine egg yolk,,0,0,120,0,91.05,622.96,-4.63,,,,,,,,,,,
,,12.3,15,85,phosphatidylcholine egg yolk,,0,0,120,0,90.33,736.4,-4.29,,,,,,,,,,,
,,15,15,85,phosphatidylcholine egg yolk,,0,0,120,0,91.11,882.73,-4.04,,,,,,,,,,,
,,15,5,95,phosphatidylcholine egg yolk,,0,0,120,0,91.92,780,-5.04,,,,,,,,,,,
